,id,text,userId,createdAt,updatedAt,groupId,label,clean_text,claim,disc_temporal_rest,allsubj,disc_expansion,disc_contingency,premise,disc_temporal_future,disc_comparison,feature_politeness_==Please==,feature_politeness_==Please_start==,feature_politeness_==HASHEDGE==,feature_politeness_==Indirect_(btw)==,feature_politeness_==Hedges==,feature_politeness_==Factuality==,feature_politeness_==Deference==,feature_politeness_==Gratitude==,feature_politeness_==Apologizing==,feature_politeness_==1st_person_pl.==,feature_politeness_==1st_person==,feature_politeness_==1st_person_start==,feature_politeness_==2nd_person==,feature_politeness_==2nd_person_start==,feature_politeness_==Indirect_(greeting)==,feature_politeness_==Direct_question==,feature_politeness_==Direct_start==,feature_politeness_==HASPOSITIVE==,feature_politeness_==HASNEGATIVE==,feature_politeness_==SUBJUNCTIVE==,feature_politeness_==INDICATIVE==
13,121,The only defense for a nuclear attack is to send up our own nukes to intercept them. Same goes for guns.,12345,23/6/2019 14:59,23/6/2019 14:59,20002,0,the only defense for a nuclear attack is to send up our own nukes to intercept them same goes for guns,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
14,122,"Guns aren't the problem, people are the problem. We need to stop punishing law abiding citizens who own guns because of the actions of a group of deranged people who shouldn't have them.",88270,23/6/2019 15:00,23/6/2019 15:00,20002,1,guns arent the problem people are the problem we need to stop punishing law abiding citizens who own guns because of the actions of a group of deranged people who shouldnt have them,0,0,11,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
15,123,A good gun with a gun would cause most bad guys with a gun not to use their guns.,84456,23/6/2019 15:00,23/6/2019 15:00,20002,0,a good gun with a gun would cause most bad guys with a gun not to use their guns,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
16,124,"All the trategies we were talking about would still happen, even if Auto GUNS DIDNT EXIST. Same amount of people, same outcome.",92345,23/6/2019 15:00,23/6/2019 15:00,10001,1,all the trategies we were talking about would still happen even if auto guns didnt exist same amount of people same outcome,0,1,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17,125,The only defense for a nuclear attack is to send up our own nukes to intercept them. Same goes for guns.,12345,23/6/2019 15:01,23/6/2019 15:01,20002,0,the only defense for a nuclear attack is to send up our own nukes to intercept them same goes for guns,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
18,126,"All of these dangerous cases exist, only because guns exist in the first place. Remove them all and violence will drop dramatically.",45678,23/6/2019 15:01,23/6/2019 15:01,20002,1,all of these dangerous cases exist only because guns exist in the first place remove them all and violence will drop dramatically,0,0,16,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19,127,"Well, that's obviously untrue. Even if you think automatic guns should be legal, they clearly make it easier to kill more people in a shorter amount of time.",53385,23/6/2019 15:01,23/6/2019 15:01,10001,0,well thats obviously untrue even if you think automatic guns should be legal they clearly make it easier to kill more people in a shorter amount of time,1,0,20,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
20,128,"Having a gun does not lead to violence and gang, having a mentality that seeks to force your will on another DOES lead to gang and crime.",12345,23/6/2019 15:02,23/6/2019 15:02,20002,1,having a gun does not lead to violence and gang having a mentality that seeks to force your will on another does lead to gang and crime,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
21,129,"All of these dangerous cases exist, only because guns exist in the first place. Remove them all and violence will drop dramatically.",45678,23/6/2019 15:02,23/6/2019 15:02,20002,0,all of these dangerous cases exist only because guns exist in the first place remove them all and violence will drop dramatically,0,0,16,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22,117,I think that just having the presence of a good guy with a gun would prevent any action by a bad guy with a gun.,88270,23/6/2019 14:58,23/6/2019 14:58,20002,0,i think that just having the presence of a good guy with a gun would prevent any action by a bad guy with a gun,1,0,10,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
23,118,Good question! And thats why I think gun control laws do not deter crime; gun ownership deters crime!!,92345,23/6/2019 14:58,23/6/2019 14:58,10001,1,good question and thats why i think gun control laws do not deter crime gun ownership deters crime,1,0,6,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0
24,121,The only defense for a nuclear attack is to send up our own nukes to intercept them. Same goes for guns.,12345,23/6/2019 14:59,23/6/2019 14:59,20002,0,the only defense for a nuclear attack is to send up our own nukes to intercept them same goes for guns,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
25,122,"Guns aren't the problem, people are the problem. We need to stop punishing law abiding citizens who own guns because of the actions of a group of deranged people who shouldn't have them.",88270,23/6/2019 15:00,23/6/2019 15:00,20002,1,guns arent the problem people are the problem we need to stop punishing law abiding citizens who own guns because of the actions of a group of deranged people who shouldnt have them,0,0,11,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
26,123,A good gun with a gun would cause most bad guys with a gun not to use their guns.,84456,23/6/2019 15:00,23/6/2019 15:00,20002,0,a good gun with a gun would cause most bad guys with a gun not to use their guns,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
27,124,"All the trategies we were talking about would still happen, even if Auto GUNS DIDNT EXIST. Same amount of people, same outcome.",92345,23/6/2019 15:00,23/6/2019 15:00,10001,1,all the trategies we were talking about would still happen even if auto guns didnt exist same amount of people same outcome,0,1,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28,125,The only defense for a nuclear attack is to send up our own nukes to intercept them. Same goes for guns.,12345,23/6/2019 15:01,23/6/2019 15:01,20002,0,the only defense for a nuclear attack is to send up our own nukes to intercept them same goes for guns,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
29,126,"All of these dangerous cases exist, only because guns exist in the first place. Remove them all and violence will drop dramatically.",45678,23/6/2019 15:01,23/6/2019 15:01,20002,1,all of these dangerous cases exist only because guns exist in the first place remove them all and violence will drop dramatically,0,0,16,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
30,127,"Well, that's obviously untrue. Even if you think automatic guns should be legal, they clearly make it easier to kill more people in a shorter amount of time.",53385,23/6/2019 15:01,23/6/2019 15:01,10001,0,well thats obviously untrue even if you think automatic guns should be legal they clearly make it easier to kill more people in a shorter amount of time,1,0,20,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
31,128,"Having a gun does not lead to violence and gang, having a mentality that seeks to force your will on another DOES lead to gang and crime.",12345,23/6/2019 15:02,23/6/2019 15:02,20002,1,having a gun does not lead to violence and gang having a mentality that seeks to force your will on another does lead to gang and crime,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
32,129,"All of these dangerous cases exist, only because guns exist in the first place. Remove them all and violence will drop dramatically.",45678,23/6/2019 15:02,23/6/2019 15:02,20002,0,all of these dangerous cases exist only because guns exist in the first place remove them all and violence will drop dramatically,0,0,16,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
